Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Chicago, IL, USA",Chicago,North America,84,Yes,1000 - 4999 employees,Food & Beverage,Baseline,Publicly Traded Company,Chief Financial Officer,"$365,000","$20,000","$520,000","$905,000","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Product Security / AppSec,Third Party Risk Management (TPRM),Trust & Safety",165,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,FedEx
10/13/2025,CISO / CIO,CISO / Head Security Level,Male,"Michigan, United States",Detroit,North America,6,Yes,1000 - 4999 employees,EdTech,Baseline,Privately Held Company,COO / President,"$365,000","$146,000","$500,000","$1,011,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",10,At least quarterly,Yes,"$75,000.00","$75,000.00",No,Corporate Indemnification Policy,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,3,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls,Dependency on AI vendors with unclear security practices,AI decision-making in security tools creating blind spots,Regulatory compliance violations,Intellectual property theft through AI platforms","NIST AI Risk Management Framework (AI RMF),EU AI Act requirements (compliance-driven),OECD AI Principles / other international guidelines","Identity/credential theft,Phishing/social engineering,AI-enhanced attacks",Somewhat confident,"Uncertainty in defining the right skills and profile for the role,Competing with salary expectations in the market",No,Actual,CISO,
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Los Angeles, CA, USA",Los Angeles,North America,56,Yes,"10,000 - 25,000 employees",Government,Baseline,Publicly Traded Company,Chief Information Officer,"$365,000","$85,000","$600,000","$1,050,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",25,At least quarterly,No,,,Yes,Neither,Yes,No,No,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Shadow AI,"Data exposure/privacy breaches,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Identity/credential theft,Phishing/social engineering",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CISO,Raytheon
10/14/2025,CIO / CISO,CISO / Head Security Level,Male,"Boston, MA USA",Boston,North America,8,Yes,1000 - 4999 employees,Insurance,Baseline,Privately Held Company,COO / President,"$365,000","$185,000","$500,000","$1,050,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Incident Response,Third Party Risk Management (TPRM)",30,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,0,Shadow AI,"Integration with critical systems creating attack vectors,AI decision-making in security tools creating blind spots,Intellectual property theft through AI platforms",None at this time,"Phishing/social engineering,Identity/credential theft,Cloud misconfigurations",Not confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
Synthetic-2026,VP of Information Security,NextGen,Male,"Sarasota, USA",Sarasota,North America,58,No,"10,000 - 25,000 employees",Government,Baseline,Publicly Traded Company,CISO,"$365,000","$34,000","$731,000","$1,130,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Incident Response,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",43,I do not report to the Board of Directors,Yes,"$200,000","$200,000",No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,0,Shadow AI,"Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Identity/credential theft,Ransomware,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,VP Security,JP Morgan Chase
Synthetic-2026,Deputy Global CISO,NextGen,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,18,No,500 - 999 employees,Telecommunications,Baseline,Privately Held Company,CISO,"$370,000","$70,000","$35,000","$475,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",7,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms",Other,"Identity/credential theft,Ransomware",Not confident,Competing with salary expectations in the market,No,Synthetic,Deputy CISO,ThreatConnect
Synthetic-2026,Deputy CISO,NextGen,Male,"Raleigh, NC, USA",Raleigh - Durham,North America,4,Yes,"25,000+ employees",Energy,Baseline,Publicly Traded Company,CISO,"$370,000","$88,000","$62,000","$520,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations",3,I do not report to the Board of Directors,Yes,"$235,000","$235,000",Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",Internal / proprietary AI risk framework,"API security,Third party risk attacks",Somewhat confident,Uncertainty in defining the right skills and profile for the role,Already have a dedicated AI Security leader in place,Synthetic,Deputy CISO,American Tower
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,33,Yes,"25,000+ employees",Manufacturing,Baseline,Publicly Traded Company,Chief Information Officer,"$370,000","$186,000",,"$556,000","AI/ML Security Engineering,Cloud Security,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Product Security / AppSec,Third Party Risk Management (TPRM)",45,Per request,Yes,"$25,000","$25,000",No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,0,Managing third-party/vendor AI risk,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Insider threats,Ransomware",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,Walmart
10/30/2025,SVP and CISO,CISO / Head Security Level,Male,Phoenix,Phoenix,North America,35,Yes,1000 - 4999 employees,Insurance,Baseline,Privately Held Company,Chief Information Officer,"$370,000","$300,000",,"$670,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations",110,At least quarterly,Yes,"$150,000.00","$150,000.00",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Financial and/or Risk-Based Metrics,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Shadow AI usage bypassing security controls,Data exposure/privacy breaches,Integration with critical systems creating attack vectors,AI-generated content being used in social engineering attacks","None at this time,Other","AI-enhanced attacks,Identity/credential theft,Cloud misconfigurations",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,CISO,
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,57,No,1000 - 4999 employees,Government,Baseline,Privately Held Company,Chief Information Officer,"$370,000",,"$315,000","$685,000","AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",130,At least quarterly,No,,,Yes,Not Sure,Yes,No,Yes,No,Financial and/or Risk-Based Metrics,No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,20,Shadow AI,"AI decision-making in security tools creating blind spots,Regulatory compliance violations","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Identity/credential theft,Phishing/social engineering",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CISO,Gallagher
10/15/2025,"SVP, CISO",CISO / Head Security Level,Male,New York/NY/USA,NYC Metro,North America,76,Yes,1000 - 4999 employees,Insurance,Baseline,Publicly Traded Company,Chief Technology Officer,"$370,000","$390,000","$260,000","$1,020,000","AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",20,At least annually,Yes,"$100,000.00","$100,000.00",No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Shadow AI,"Shadow AI usage bypassing security controls,Data exposure/privacy breaches",Internal / proprietary AI risk framework,Ransomware,Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
